input,output
காபி ரெடியா இருக்கு.,"ரொம்ப நன்றி, குடிக்கிறேன்."
வணக்கம்! எப்படி இருக்கீங்க?,வணக்கம்! நான் நல்லா இருக்கேன். நீங்க எப்படி இருக்கீங்க?
சௌக்கியமா இருக்கீங்களா?,சௌக்கியமா இருக்கேன். நீங்க சௌக்கியமா?
என்ன விசேஷம்?,ஒன்னும் இல்ல. வழக்கம் போல.
சாப்பிட்டீங்களா?,சாப்பிட்டேன். நீங்க சாப்பிட்டீங்களா?
"வாங்க, உட்காருங்க.",ரொம்ப நன்றி.
போயிட்டு வாங்க.,"சரிங்க, போயிட்டு வரேன்."
நல்லா இருங்க.,நீங்களும் நல்லா இருங்க.
என்ன பண்ணிட்டு இருக்கீங்க?,சும்மா உக்காந்துட்டு இருக்கேன்.
வெயில் அதிகமா இருக்கு.,"ஆமாம், ரொம்ப வெக்கையா இருக்கு."
மழை வர மாதிரி இருக்கு.,"ஆமாம், வானம் இருட்டிக்கிட்டு வருது."
உங்களை பாத்து ரொம்ப சந்தோஷம்.,எனக்கும் ரொம்ப சந்தோஷம்.
காலை வணக்கம்.,காலை வணக்கம். எப்படி இருக்கீங்க?
மாலை வணக்கம்.,மாலை வணக்கம். என்ன பண்ணிட்டு இருக்கீங்க?
ராத்திரி வணக்கம்.,ராத்திரி வணக்கம். நல்லா தூங்குங்க.
ஒரு நிமிஷம் இருங்க.,"சரிங்க, நான் காத்திருக்கேன்."
உங்க பேர் என்ன?,என் பேரு ராஜேஷ். உங்க பேர் என்ன?
எங்க இருந்து வர்றீங்க?,நான் சென்னையிலிருந்து வர்றேன். நீங்க எங்க இருந்து வர்றீங்க?
உங்களுக்கு என்ன பிடிக்கும்?,எனக்கு புத்தகம் படிக்க பிடிக்கும். உங்களுக்கு என்ன பிடிக்கும்?
உங்களுக்கு உதவி செய்யட்டுமா?,"பரவாயில்ல, நன்றி."
"சாரி, கொஞ்சம் லேட்டா வந்துட்டேன்.","பரவாயில்ல, வாங்க."
வணக்கம்! எப்படி இருக்கீங்க?,வணக்கம்! நான் நல்லா இருக்கேன். நீங்க எப்படி இருக்கீங்க?
சௌக்கியமா இருக்கீங்களா?,சௌக்கியமா இருக்கேன். எல்லாம் உங்க தயவுல.
நல்லா இருக்கியா?,நல்லா இருக்கேன் அண்ணா/அக்கா/தம்பி/தங்கை.
என்ன விசேஷம்?,ஒன்னும் விசேஷம் இல்ல. வழக்கம் போல.
என்ன பண்ணிட்டு இருக்கீங்க?,சும்மா டிவி பார்த்துட்டு இருக்கேன்/புத்தகம் படிச்சிட்டு இருக்கேன்/வேலை செஞ்சுட்டு இருக்கேன்.
சாப்பிட்டீங்களா?,சாப்பிட்டேன். நீங்க சாப்பிட்டீங்களா?
சாயா சாப்பிட்டீங்களா?,"ஆமா, சாப்பிட்டேன். சூப்பரா இருந்தது."
வீடு எப்படி இருக்கு?,வீடு நல்லா இருக்கு. வந்துட்டு போங்க.
குழந்தைங்க நல்லா இருக்காங்களா?,"ஆமா, குழந்தைங்க நல்லா இருக்காங்க. உங்க குழந்தைங்க எப்படி இருக்காங்க?"
உங்களை பார்த்ததுல ரொம்ப சந்தோஷம்.,எனக்கும் ரொம்ப சந்தோஷம்.
போயிட்டு வாங்க.,சரிங்க. நானும் போயிட்டு வரேன்.
நன்றி!,பரவாயில்லை.
ரொம்ப உபயோகமா இருந்தது.,அதுதான் எனக்கு சந்தோஷம்.
இன்னைக்கு வெயில் ரொம்ப அதிகமா இருக்கு.,"ஆமா, வெயில் கொளுத்துது. சீக்கிரம் மழை வந்தா நல்லா இருக்கும்."
எந்த ஊர்ல இருந்து வரீங்க?,நான் சென்னைல இருந்து வரேன். நீங்க எந்த ஊர்?
என்ன படிச்சிட்டு இருக்கீங்க?,நான் இன்ஜினியரிங் படிச்சிட்டு இருக்கேன்.
வேலை எப்படி போகுது?,வேலை நல்லா போகுது. கொஞ்சம் பிஸியா இருக்கு.
சினிமாவுக்கு போலாமா?,கண்டிப்பா போலாம். எந்த சினிமா பார்க்கலாம்?
சந்திச்சதுக்கு நன்றி.,எனக்கும்தான் நன்றி.
நாளைக்கு பார்க்கலாம்.,சரிங்க. நாளைக்கு பார்ப்போம்.
வணக்கம்! எப்படி இருக்கீங்க?,வணக்கம்! நான் நல்லா இருக்கேன். நீங்க எப்படி இருக்கீங்க?
"நல்லா இருக்கேன், நன்றி. சாப்டீங்களா?",சாப்பிட்டேன். நீங்க சாப்டீங்களா?
சாப்பிட்டேன். இன்னைக்கு என்ன ஸ்பெஷல்?,இன்னைக்கு சாம்பார் சாதம். உங்களுக்கு என்ன பிடிக்கும்?
எனக்கு தயிர் சாதம் ரொம்ப பிடிக்கும்.,அப்படியா! நல்லா இருக்கு.
ஹலோ! என்ன விசேஷம்?,ஒன்னும் இல்லை. சும்மா தான் இருக்கேன். நீங்க சொல்லுங்க.
நான் வேலைய முடிச்சிட்டு வரேன்.,"சரி, பார்த்து போங்க."
சந்திச்சதுல சந்தோஷம்!,எனக்கும் ரொம்ப சந்தோஷம்!
போயிட்டு வாங்க.,"சரி, நீங்களும் போயிட்டு வாங்க."
எங்கே போறீங்க?,நான் கடைக்கு போறேன். ஏதாவது வேணுமா?
"வேண்டாம், நன்றி. சீக்கிரமா வாங்க.",சரிங்க.
இன்னைக்கு வெயில் அதிகமா இருக்கு.,"ஆமாம், ரொம்ப வெக்கையா இருக்கு."
சாயங்காலம் மழை வர மாதிரி இருக்கு.,இருக்கலாம். பார்க்கலாம்.
உங்க ஊர் என்ன?,என் ஊரு சென்னை. உங்க ஊர் என்ன?
என் ஊரு மதுரை.,"ஓ, ரொம்ப நல்ல ஊரு."
சௌக்கியமா இருக்கீங்களா?,சௌக்கியமா இருக்கேன். உங்க வீட்டில் எல்லாரும் சௌக்கியமா?
எல்லாரும் சௌக்கியமா இருக்காங்க.,சந்தோஷம்.
சமாளிக்குங்களா?,சமாளிக்கிறேன். ஏதாவது உதவி வேணுமா?
ஒன்னும் வேண்டாம். ரொம்ப நன்றி.,பரவாயில்லை.
காலையில் பார்த்தேன். எப்படி இருக்கீங்க?,நல்லா இருக்கேன். காலையில் கொஞ்சம் பிஸியா இருந்தேன்.
அப்படியா! பரவாயில்லை. அப்ப போயிட்டு வாங்க.,சரிங்க. நன்றி. நீங்களும் போயிட்டு வாங்க.
ஐயோ! இன்னைக்கு ரொம்ப டயர்டா இருக்கு.,"சோர்வா இருக்கீங்களா? பரவாயில்லை, நான் இருக்கேன். உங்களுக்கு மசாஜ் சீட் ஆன் பண்ணட்டுமா? அப்புறம், லேசான பாட்டு போடவா?"
எனக்கு பயங்கர கோபமா இருக்கு!,"கோபப்படாதீங்க. ஆழமா மூச்சு விடுங்க. உங்களுக்காக ஏசி அதிகமா வைக்கிறேன். அப்புறம், உங்களுக்குப் பிடிச்ச பாட்டு போட்டா கொஞ்சம் நல்லா இருக்குமே?"
சூப்பரா இருக்கு! இன்னைக்கு ரொம்ப சந்தோஷமா இருக்கேன்.,ரொம்ப சந்தோஷமா? நானும் சந்தோஷப்படறேன்! சத்தமா பாட்டு போடட்டுமா? விண்டோஸ் திறந்து வெச்சிரவா?
எனக்கு ரொம்ப ஸ்ட்ரெஸ்ஸா இருக்கு. ஆபீஸ்ல ரொம்ப வேலை.,பரவாயில்லை. நான் உங்களுக்காக என்ன செய்யனும் சொல்லுங்க. நேராக வீட்டுக்கு போறதா? இல்ல ஒரு காபி ஷாப்பிற்கு போகவா? ஒரு அமைதியான பாட்டு போட்டுடவா?
பாட்டு போடுங்க!,கட்டாயம்! உங்களுக்காக என்ன பாட்டு போடணும்? உங்களுக்கு பிடித்த 'ரஹ்மான்' பாட்டு போடட்டுமா?
ஏசிய ஆன் பண்ணுங்க! ரொம்ப வேர்க்குது.,உடனே ஆன் பண்ணிடறேன். டெம்பரேச்சர் இருபத்தி ரெண்டு டிகிரி வைக்கிறேன். சரியா?
ஜன்னலைத் திற!,உங்களுக்காக ஜன்னல் திறக்கிறேன். கொஞ்சம் காத்து வரட்டும்.
லைட்ட கொஞ்சம் டல் பண்ணுங்க. கண்ணு கூசுது.,சரிங்க. லைட்டை டல் பண்ணிட்டேன். இப்ப நல்லா இருக்கா?
வீட்டுக்கு நேவிகேஷன் செட் பண்ணுங்க.,கண்டிப்பா! வீட்டுக்கு நேவிகேஷன் செட் பண்ணிட்டேன். இருபது நிமிஷத்துல வீட்டுக்கு போயிடலாம்.
டெம்பரேச்சரை இருபத்தி நாலு டிகிரில வைங்க.,ஓகே! டெம்பரேச்சரை இருபத்தி நாலு டிகிரில வச்சுட்டேன்.
எனக்கு ஒரு மாதிரி படபடப்பா இருக்கு.,"படபடப்பா இருக்கீங்களா? கொஞ்சம் தண்ணீர் குடிங்க. கதவை லாக் பண்ணிட்டு, கொஞ்சம் மெதுவா போலாமா?"
கொஞ்சம் கிளாசிக் பாட்டு போடுங்க.,கிளாசிக் பாட்டா? எம்.எஸ். சுப்புலட்சுமி பாடல்கள் போடவா?
இந்த ரூட்டை மாத்துங்க. டிராஃபிக் ஜாமா இருக்கு போல.,சரி. டிராஃபிக் ஜாம் இருக்கிற ரூட்ட மாத்திட்டேன். இப்போ வேற ரூட்ல போலாம். பத்து நிமிஷம் அதிகம் ஆகும்.
என் கால் வலிக்குது.,பரவாயில்லை. எனக்குத் தெரியும். உங்களுக்கு மசாஜ் சீட் போட்டுடுறேன். கொஞ்சம் ரிலாக்ஸா இருங்க.
பாட்டை நிறுத்துங்க. போன் பேசணும்.,பாட்டை நிறுத்திட்டேன். நீங்க பேசலாம்.
எனக்கு ஐஸ்கிரீம் சாப்பிடனும்னு ஆசையா இருக்கு.,ஐஸ்கிரீமா? ஐஸ்கிரீம் கடைக்கு நேவிகேஷன் செட் பண்ணவா?
"காற்று ரொம்ப சூடா இருக்கு, ஏசியை இன்னும் கொஞ்சம் அதிகப்படுத்துங்க.",நிச்சயமாக. ஏசியை இன்னும் கொஞ்சம் அதிகப்படுத்திவிட்டேன். இப்ப குளிர்ச்சியா இருக்கா?
உடம்புக்கு முடியலை போல இருக்கு.,உங்களுக்கு உடம்பு சரியில்லையா? பக்கத்துல ஹாஸ்பிடல் இருக்கான்னு பார்க்கவா? டாக்டர்கிட்ட போகலாமா?
நைட் மோட் ஆன் பண்ணுங்க.,உடனே செஞ்சிடறேன். நைட் மோட் ஆன் பண்ணிட்டேன்.
நான் சிரிச்சு சிரிச்சு வயிறு வலிக்குது!,ரொம்ப சந்தோஷமா இருக்கீங்க போல. நானும் கூட சிரிக்கிறேன்! இன்னும் வேற ஏதாவது செய்யட்டுமா?
"ஐயோ, எனக்கு இன்னைக்கு ரொம்ப டயர்டா இருக்கு.","பரவாயில்லைங்க, நீங்க இப்போ வீட்டுக்கு போய்ச் சேருற வரைக்கும் நான் உங்கள கவனிச்சிக்கிறேன். உங்களுக்கு புடிச்ச ராகம் ஏதும் போடட்டுமா? லைட்டா மசாஜ் பண்ணட்டும்மா? இது உங்க வீடு வரைக்கும் உங்கள கூட்டிட்டு போகும்."
சந்தோஷமா இருக்கு! பாட்டு போடு!,சந்தோஷம்! உங்களுக்கு புடிச்ச பாட்டு போட்டுட்டேன். வால்யூம் இன்னும் கொஞ்சம் அதிகமா வைக்கட்டுமா?
மனசு ரொம்ப கஷ்டமா இருக்கு.,உங்க கஷ்டத்தை நான் புரிஞ்சிக்கிறேன். கொஞ்சம் மெதுவான இசையப் போடட்டுமா? லைட்ட கொஞ்சம் மங்கலா ஆக்கிடட்டுமா? பேச ஏதாவது வேணுமா?
ஏசி கொஞ்சம் அதிகமா வேணும். செம வெயிலு.,நிச்சயமா! ஏசி அதிகமா ஆக்கிட்டேன். இப்ப கொஞ்சம் நல்லா இருக்கா? வேணும்னா சீட் கூலிங்கும் போடட்டுமா?
எனக்கு கோபமா வருது. கொஞ்சம் அமைதியா இருக்கணும்.,சரிங்க. நான் இப்ப பேசாம அமைதியா உங்க கூட வரேன். வேணும்னா காத்துக்காக ஜன்னல் கொஞ்சம் திறக்கவா?
இந்த இடத்துல இருந்து எங்க வீட்டுக்கு வழி சொல்லு.,நிச்சயமா! உங்க வீட்டுக்கு வழி சொல்லிடுறேன். இப்போ இடது பக்கம் திரும்பணும். போற வழில எதுவும் மாத்தணுமா?
"ஜன்னலை மூடு, மழை வர மாதிரி இருக்கு.","சரிங்க, ஜன்னலை மூடிட்டேன். விண்ட்ஷீல்ட் வைப்பர் போடட்டுமா?"
லைட் வெளிச்சம் ரொம்ப அதிகமா இருக்கு.,சாரிங்க! உடனே லைட் கொஞ்சம் கம்மி பண்ணிடுறேன். இப்ப ஓகேவா?
"சரியா தூங்கல, கொஞ்சம் சூடா காபி இருந்தா நல்லா இருக்கும்.",காபி இருந்தா நல்லா இருக்கும்னு எனக்கும் தெரியும். பக்கத்துல காபி கடை இருக்கான்னு பாக்கட்டா? இல்ல வீட்டுக்கு நேர போகவா?
சூப்பர்! இன்னைக்கு பர்த்டே பார்ட்டிக்கு போகனும்! எக்சைட்டடா இருக்கு,சூப்பர்! பார்ட்டிக்கு போக ரெடியா இருங்க. ஸ்பெஷல் சாங் போடட்டுமா? டான்ஸ் ஆடிக்கிட்டே போகலாம்!
ரேடியோல ஏதாவது நியூஸ் சேனல் போடு.,உடனே நியூஸ் சேனல் போட்டுட்டேன். வேற ஏதாவது கேக்கணுமா?
"ரொம்ப போர் அடிக்குது, ஏதாவது கதை சொல்லு.","கதை சொல்லவா? சரி, ஒரு நிமிஷம்... தூங்காம நல்லா கேளுங்க. இல்லன்னா வேற ஏதாவது சொல்லவா?"
டெம்பரேச்சர் கொஞ்சம் குறை.,நிச்சயமா! டெம்பரேச்சர் குறைச்சிட்டேன். இப்ப சரியா இருக்கா?
"ஹெட்லைட் ஆன் பண்ணு, இருட்டிடுச்சு.",உடனே ஹெட்லைட் ஆன் பண்ணிட்டேன். பத்திரமா போங்க.
"இந்த பாட்டு நல்லா இல்ல, அடுத்த பாட்டு போடு.","சரிங்க, அடுத்த பாட்டு போட்டுட்டேன். இது உங்களுக்கு பிடிக்குமான்னு சொல்லுங்க."
ஏதாவது ஜோக் சொல்லு சிரிப்போம்.,ஜோக் வேணுமா? ஒரு நிமிஷம் யோசிக்குறேன்... ரெடியா இருங்க சிரிக்க.
"நான் ரொம்ப ஸ்டிரெஸ்ஸா இருக்கேன், எனக்கு கொஞ்சம் ஹெல்ப் பண்ணு.",நான் உங்களுக்கு எப்பவும் ஹெல்ப் பண்ண தயாரா இருக்கேன். உங்களுக்கு ஏதாவது மசாஜ் பண்ணனும்மா? இல்ல அமைதியான இடம் ஏதாவது போகட்டுமா?
வால்யூம் கொஞ்சம் அதிகமா வை.,"சாரி, கொஞ்சம் உரக்க பேசுங்க. உங்க சத்தமே கேட்கல. சரி சரி வால்யூம் ஏத்திட்டேன்."
இந்த ரூட்ட விட்டு வேற ரூட்ல போ.,சரிங்க. வேற ரூட்ல போலாம். புது ரூட்ல டிராஃபிக் கம்மியா இருக்க மாதிரி பாக்கட்டா?
"கொஞ்சம் நிதானமா போ, எனக்கு பயமா இருக்கு.",நிச்சயமா! மெதுவாதான் போறேன். நீங்க பயப்படாம இருங்க.
"ஐயோ, இன்னைக்கு ரொம்ப டயர்டா இருக்கு.","வாங்க, கவலைப்படாதீங்க. ரொம்ப களைப்பா இருக்கீங்களா? சீட் கொஞ்சம் சாய்க்கவா? மெல்லிசான பாட்டு போடட்டுமா? லைட்டிங் டிம் பண்ணிட்டு, ஏசிய கொஞ்சம் கம்மி பண்ணிடறேன்."
எனக்கு ரொம்ப சந்தோஷமா இருக்கு!,அப்படியா! சூப்பர்! நீங்க சந்தோஷமா இருந்தா நானும் சந்தோஷம். ஃபாஸ்ட்டான பாட்டு போடவா? ரூஃப்டாப் திறந்து விடவா?
ரொம்ப டென்ஷனா இருக்கு. ஆபீஸ்ல ஒரே வேலை.,ரொம்ப டென்ஷனா இருக்கீங்களா? ஒன்னும் பிரச்சனை இல்ல. ரிலாக்ஸ் பண்ணுங்க. கூலான சாங் போடவா? சீட் மசாஜ் ஆன் பண்ணவா? உங்களுக்கு புடிச்ச காபி ஷாப்க்கு போகலாமா?
ஜன்னலைத் திற.,நிச்சயமாக! ஜன்னல் திறந்துட்டேன். காற்று நல்லா இருக்கா?
ஏசியை போடு. ரொம்ப வேர்க்குது.,கண்டிப்பா போடுறேன். ஏசி ஆன் பண்ணிட்டேன். எவ்வளவு டெம்பரேச்சர் வைக்கணும்னு சொல்லுங்க.
மியூசிக் வால்யூமை குறை.,சரிங்க. வால்யூமை குறைச்சிட்டேன். சரியா இருக்கா?
எனக்குப் புடிச்ச பாட்டைப் போடு.,உங்க ஃபேவரைட் சாங் பிளே பண்ணிட்டேன். என்ஜாய் பண்ணுங்க.
வீட்டுக்கு நேவிகேஷன் செட் பண்ணு.,நிச்சயமா. வீட்டுக்கு நேவிகேஷன் செட் பண்ணிட்டேன். 30 நிமிஷத்துல போயிடலாம்.
லைட்ஸ கொஞ்சம் பிரைட்டா ஆக்கு.,சரிங்க. லைட்ஸ் பிரைட் பண்ணிட்டேன். இப்போ ஓகேவா?
சூடாக இருக்கு. டெம்பரேச்சர 22 டிகிரிக்கு வை.,உடனே செட் பண்ணிட்டேன். 22 டிகிரிக்கு டெம்பரேச்சர் செட் பண்ணியாச்சு.
நான் ரொம்ப சோகமா இருக்கேன்.,வருத்தப்படாதீங்க. உங்களுக்கு கஷ்டமா இருக்கா? ஒரு ஆறுதலான பாட்டு போடட்டுமா? இல்ல டிரைவ் போலாமா? உங்களுக்கு என்ன வேணும்னாலும் சொல்லுங்க.
சினிமா தியேட்டருக்கு போகணும். நேவிகேட் பண்ணு.,சரிங்க. எந்த சினிமா தியேட்டருக்கு போகணும்னு சொல்லுங்க. உடனே நேவிகேட் பண்ணிடலாம்.
ரொம்ப குளிருது. ஹீட்டரை போடு.,உடனே போட்டுடறேன். ஹீட்டர் ஆன் பண்ணிட்டேன். சரியா இருக்கா?
மியூசிக்க ஆஃப் பண்ணு.,சரிங்க. மியூசிக் ஆஃப் பண்ணிட்டேன்.
எனக்குப் பேசணும்போல இருக்கு.,நிச்சயமா. நீங்க என்ன பேசணும்னாலும் சொல்லுங்க. நான் கேட்க தயாரா இருக்கேன்.
இந்த மாதிரி டிராஃபிக்ல போக முடியல.,டிராஃபிக் அதிகமா இருக்கா? வேற ரூட் இருக்கான்னு பார்க்கட்டுமா? பொறுமையா போலாம்.
எனக்கு தூக்கம் வருது.,"தூக்கம் வருதா? வண்டி ஓட்டுறது கஷ்டமா இருந்தா, நான் ஆட்டோ பைலட்ல போடட்டுமா? இல்ல ரெஸ்ட் எடுக்கலாமா?"
சத்தமா பாட்டு போடு.,சரிங்க. சத்தமா பாட்டு போட்டுட்டேன். என்ஜாய் பண்ணுங்க.
பேட்டரி எவ்வளவு இருக்கு?,பேட்டரி 80% இருக்கு. நீங்க போக வேண்டிய இடத்துக்குப் போறதுக்கு போதுமானதாக இருக்கும்.
விண்டோவை முழுசா சாத்து.,உடனே சாத்திட்டேன். முழுசா சாத்தியாச்சு.
"ஐயோ, இன்னைக்கு ரொம்ப டயர்டா இருக்கு.",பரவாயில்லைங்க. நீங்க ரெஸ்ட் எடுக்குறதுக்கு ஏதாச்சும் செய்யட்டுமா? லைட்டா மியூசிக் போடவா? சீட்டை கொஞ்சம் சாச்சுடவா?
எனக்கு ரொம்ப சந்தோஷமா இருக்கு!,சந்தோஷம்! சூப்பர்! உங்களுக்குப் புடிச்ச பாட்டு ஏதாச்சும் போடட்டுமா? இல்ல கூகிள் மேப்ஸ்ல டான்ஸ் ஆடற மாதிரி ரூட் போடட்டுமா?
"ஏசி கொஞ்சம் போடு, வேர்க்குது.",கண்டிப்பாங்க. ஏசி ஆன் பண்ணிட்டேன். இருபத்தி நாலு டிகிரி வச்சுருக்கேன். வேணுன்னா சொல்லுங்க மாத்தலாம்.
இந்த பாட்டை மாத்து. பிடிக்கல.,சரிங்க. அடுத்த பாட்டுக்கு மாத்திட்டேன். வேற ஜானர் ஏதாச்சும் ட்ரை பண்ணட்டுமா?
எனக்கு டென்ஷனா இருக்கு. டிராஃபிக் வேற அதிகமா இருக்கு.,நான் உங்களுக்கு ஹெல்ப் பண்றேன். கொஞ்சம் மெதுவா போலாமா? இல்ல மைண்ட் ரிலாக்ஸ் பண்ணற மாதிரி மியூசிக் போடவா? இன்னும் கொஞ்சம் தூரம் தான்.
ஜன்னலைத் திற.,கண்டிப்பாங்க. ஜன்னல் இறக்கிட்டேன். நல்லா காத்து வரட்டும்.
வீட்டுக்கு வழி சொல்லு.,வீட்டுக்கு வழி காமிக்கிறேன். ஷார்ட்கட் ரூட் இருக்கான்னு பார்க்கட்டுமா?
சூடா இருக்கு. டெம்பரேச்சரை குறை.,உடனேங்க. டெம்பரேச்சர் குறைச்சுட்டேன். இப்ப சரியா இருக்கா?
எனக்கு தூக்கம் வருது.,உங்களுக்கு கொஞ்ச நேரம் ரெஸ்ட் எடுக்கணும் போல இருக்கு. பக்கத்துல காபி ஷாப் இருக்கான்னு பார்க்கட்டுமா? இல்ல ஒரு சேஞ்ச்க்கு ரூட்டை மாத்தவா?
லைட்ட போடு.,உள்ள லைட் போடவா இல்ல வெளியில லைட் போடவா? இல்ல ரெண்டையும் போடவா?
பாட்டை நிறுத்து.,"சரிங்க, பாட்டை நிறுத்திட்டேன்."
எனக்கு ரொம்ப சோர்வா இருக்கு.,கொஞ்சம் ரிலாக்ஸ் பண்ணுங்க. மசாஜ் சீட்டை ஆன் பண்ணவா?
இந்த இடம் எனக்கு பழக்கமில்ல.,"கவலைப்படாதீங்க. நான் இருக்கேன். நீங்க எங்க போகணும்னு சொல்லுங்க, கூட்டிட்டு போறேன்."
ஏசி கொஞ்சம் ஜாஸ்தியா போடு.,கண்டிப்பாங்க. ஏசி அதிகமா போடுறேன். இப்ப ஓகேவா?
ரேடியோ போடு.,உங்களுக்கு எந்த சேனல் வேணும்னு சொல்லுங்க. இல்ல நான் பெஸ்ட்டா இருக்கிற சேனலை போடவா?
எனக்கு பயமா இருக்கு.,பயப்படாதீங்க. நான் இருக்கேன். டோர் எல்லாம் லாக்ல இருக்கான்னு பார்க்கவா?
இன்னிக்கு நல்ல நாளா இருக்கணும்.,கண்டிப்பா நல்ல நாளா இருக்கும். ஒரு பாசிடிவ் வைப் மியூசிக் போடட்டுமா?
கார் லைட்ட மாத்து.,என்ன கலர்ல மாத்தணும்னு சொல்லுங்க. உங்க மூடுக்கு ஏத்த மாதிரி மாத்தவா?
இந்த ரூட் ரொம்ப தூரமா இருக்கு.,உடனே மாத்தறேன். ஷார்ட்டா வேற ரூட் இருக்கான்னு பார்க்கட்டுமா?
பார்க்கிங் ஸ்பாட் தேடு.,ஓகேங்க. பக்கத்துல பார்க்கிங் ஸ்பாட் இருக்கான்னு தேடிட்டு சொல்றேன்.
