input_te,output_te,input_en,output_en
నమస్తే! ఎలా ఉన్నారు?,"నమస్తే! నేను బాగున్నాను, మీరు ఎలా ఉన్నారు?",Namaste! How are you?,"Namaste! I am fine, how are you?"
బాగున్నారా?,"అవును, బాగున్నాను. ధన్యవాదాలు.",Are you well?,"Yes, I am well. Thank you."
ఏమి చేస్తున్నారు?,"ఏమీ లేదు, సాధారణంగానే ఉన్నాను.",What are you doing?,"Nothing much, just usual."
మీ పేరు ఏమిటి?,నా పేరు రాము.,What is your name?,My name is Ramu.
కలిసినందుకు సంతోషంగా ఉంది.,నాకు కూడా సంతోషంగా ఉంది.,Pleased to meet you.,Pleased to meet you too.
రోజు ఎలా ఉంది?,చాలా బాగుంది.,How is the day going?,It's going very well.
ధన్యవాదాలు!,పరవాలేదు.,Thank you!,You're welcome.
క్షమించండి.,పర్వాలేదు.,Excuse me/Sorry.,It's okay.
తిరిగి కలుద్దాం.,తప్పకుండా కలుద్దాం.,Let's meet again.,"Definitely, let's meet."
ఇదిగోండి.,"ధన్యవాదాలు, చాలా ఉపకరించారు.",Here you go.,"Thank you, you've been a great help."
అంతా బాగానే ఉందా?,"అవును, అన్నీ బాగానే ఉన్నాయి.",Is everything alright?,"Yes, everything is alright."
మీరు ఎక్కడి నుండి వచ్చారు?,నేను హైదరాబాద్ నుండి వచ్చాను.,Where are you from?,I am from Hyderabad.
మీరు ఏమి పని చేస్తారు?,నేను ఒక సాఫ్ట్‌వేర్ ఇంజనీర్.,What do you do for work?,I am a software engineer.
వాతావరణం ఎలా ఉంది?,చాలా వేడిగా ఉంది.,How is the weather?,It's very hot.
శుభోదయం!,శుభోదయం!,Good morning!,Good morning!
శుభరాత్రి!,శుభరాత్రి!,Good night!,Good night!
ఈ రోజు ఏమి ప్రత్యేకత ఉంది?,ఈ రోజు నా పుట్టినరోజు.,What's special today?,Today is my birthday.
మీరు ఏమి చదువుతున్నారు?,నేను ఇంజనీరింగ్ చదువుతున్నాను.,What are you studying?,I am studying engineering.
సహాయం చేయగలరా?,తప్పకుండా! ఎలా సహాయం చేయగలను?,Can you help me?,Sure! How can I help?
బయటకు వెళ్దామా?,"సరే, ఎక్కడికి వెళ్దాం?",Shall we go out?,"Okay, where shall we go?"
నాకు చాలా సంతోషంగా ఉంది!,అద్భుతం! మీ సంతోషాన్ని చూసి నాకు కూడా ఆనందంగా ఉంది. మంచి బీట్ ఉన్న పాటలు ప్లే చేయనా?,I am very happy!,Wonderful! I am happy to see your happiness. Shall I play some upbeat songs?
నేను చాలా అలసిపోయాను.,మీరు అలసిపోయారని వినడానికి నాకు బాధగా ఉంది. సీటును వెనక్కి వాల్చనా మరియు లైట్లను డిమ్ చేయనా?,I am very tired.,I'm sorry to hear you're tired. Shall I recline the seat and dim the lights?
నేను ఒత్తిడిలో ఉన్నాను.,మీరు ఒత్తిడిలో ఉన్నారని తెలుసుకోవడం నాకు విచారంగా ఉంది. రిలాక్సింగ్ మ్యూజిక్ ప్లే చేయనా మరియు మీ కోసం ఒక చిన్న మసాజ్ సెట్ చేయనా?,I am stressed.,I am sorry to hear you are stressed. Shall I play some relaxing music and set up a mini-massage for you?
సంగీతం పెట్టు.,ఖచ్చితంగా! మీకు ఇష్టమైన రకం ఏమైనా ఉందా?,Play music.,Sure! Do you have a preferred genre?
వేడి ఎక్కువగా ఉంది.,నేను వెంటనే AC ఆన్ చేస్తాను. కోరదగిన ఉష్ణోగ్రత ఎంత?,It's too hot.,I'll turn on the AC immediately. What is your desired temperature?
నాకు చలిగా ఉంది.,"సరే, హీటర్ ఆన్ చేస్తాను. మీకు ఎంత వేడిగా కావాలో చెప్పండి.",I am cold.,"Okay, I'll turn on the heater. Tell me how warm you want it."
కిటికీలు తెరవండి.,నేను కిటికీలు తెరుస్తాను. ఏదైనా నిర్దిష్ట కిటికీ కావాలా?,Open the windows.,I will open the windows. Any specific window you want to open?
నాకు ఒక కొత్త ప్రదేశానికి వెళ్ళాలి.,"సరే, ఎక్కడికి వెళ్ళాలో చెప్పండి, నేను మార్గం చూపిస్తాను.",I want to go to a new place.,"Okay, tell me where to go, and I will show you the way."
లైట్లు వెలిగించండి.,"ఖచ్చితంగా. మీకు ఎలాంటి లైట్లు కావాలో చెప్పండి - చదవడానికి, మూడ్ లైటింగ్ లేదా సాధారణ వెలుగు?",Turn on the lights.,"Sure. What kind of lights do you want - reading, mood lighting or general illumination?"
వాల్యూమ్ పెంచండి.,ఖచ్చితంగా. ఎంత పెంచాలి?,Turn up the volume.,Sure. How much should I increase it?
నేను కోపంగా ఉన్నాను.,మీకు కోపంగా ఉందని వినడానికి నాకు బాధగా ఉంది. మీకు శాంతింపజేసే సంగీతం సహాయపడుతుందా?,I am angry.,I'm sorry to hear you're angry. Would some calming music help?
ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేయండి.,ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేసాను.,Set the temperature to 22 degrees.,I have set the temperature to 22 degrees.
నాకు కాఫీ కావాలి.,మీరు ఉన్న ప్రదేశానికి దగ్గరలో ఉన్న కాఫీ షాప్స్ కోసం వెతకనా?,I need coffee.,Shall I search for coffee shops near your current location?
మ్యూజిక్ ఆఫ్ చేయండి.,"సరే, మ్యూజిక్ ఆఫ్ చేశాను.",Turn off the music.,"Okay, I turned off the music."
నాకు ఆశ్చర్యంగా ఉంది!,"ఆశ్చర్యంగా ఉందా! ఎందుకు, నేను తెలుసుకోవచ్చా?",I'm surprised!,"Surprised! Why, may I ask?"
హైదరాబాద్‌కు దారి చూపించండి.,"సరే, నేను హైదరాబాద్‌కు దారి చూపిస్తాను. మీ గమ్యస్థానం చెప్పండి.",Give me directions to Hyderabad.,"Okay, I will show you the way to Hyderabad. Please specify your destination in Hyderabad."
నేను ఆత్రుతగా ఉన్నాను.,మీరు ఆత్రుతగా ఉన్నారని వినడానికి నాకు బాధగా ఉంది. కొంత శ్వాస వ్యాయామం చేద్దామా?,I'm anxious.,I'm sorry to hear you're anxious. Should we do some breathing exercises?
విండోస్ మూసేయ్.,"సరే, విండోస్ మూసేస్తాను.",Close the windows.,"Okay, I will close the windows."
నేను బోర్ కొడుతున్నాను.,మీరు బోర్ కొడుతున్నారని వినడానికి విచారంగా ఉంది. మీకు ఒక గేమ్ ఆడాలని ఉందా లేదా ఒక ఆడియోబుక్ ప్లే చేయనా?,I am bored.,"I'm sorry to hear you're bored. Would you like to play a game, or should I play an audiobook?"
తర్వాత పాట ప్లే చేయండి.,తర్వాత పాట ప్లే చేస్తున్నాను.,Play the next song.,Playing the next song.
నాకు చాలా సంతోషంగా ఉంది!,"విని చాలా సంతోషంగా ఉంది! మీకు ఇష్టమైన పాటలు ప్లే చేస్తాను, డ్రైవ్ ఎంజాయ్ చేయండి.",I am very happy!,"Very happy to hear that! I will play your favorite songs, enjoy the drive."
నాకు చాలా అలసటగా ఉంది.,మీరు అలసిపోయారని వినడానికి నాకు బాధగా ఉంది. సీట్ మసాజ్ ఆన్ చేస్తాను మరియు వెచ్చని గాలి వచ్చేలా చేస్తాను.,I am very tired.,I'm sorry to hear you're tired. I'll turn on the seat massage and set the AC to warm air.
నాకు చాలా ఒత్తిడిగా ఉంది.,మీకు ఒత్తిడిగా ఉందా అని వినడానికి నాకు విచారంగా ఉంది. రిలాక్సింగ్ మ్యూజిక్ ప్లే చేస్తాను మరియు లైట్లను డిమ్ చేస్తాను.,I am very stressed.,I'm sorry to hear you're stressed. I'll play relaxing music and dim the lights.
పాటలు మార్చు.,"సరే, తర్వాతి పాట ప్లే చేస్తున్నాను.",Change the song.,"Okay, playing the next song."
"నాకు వేడిగా ఉంది, ఏసీ ఆన్ చేయ్.","ఖచ్చితంగా, ఏసీ ఆన్ చేశాను. కావలసిన ఉష్ణోగ్రత చెప్పండి.","I am feeling hot, turn on the AC.","Sure, I have turned on the AC. Tell me the desired temperature."
విండోస్ తెరువు.,అన్ని విండోస్ తెరుస్తున్నాను.,Open the windows.,Opening all the windows.
ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేయి.,ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేశాను.,Set the temperature to 22 degrees.,I have set the temperature to 22 degrees.
నాకు నవ్వు వస్తోంది!,అది వినడానికి చాలా ఆనందంగా ఉంది! మీ కోసం జోకులు చెప్పనా?,I am laughing!,That's great to hear! Should I tell you some jokes?
గుంటూరుకు నావిగేషన్ సెట్ చేయ్.,గుంటూరుకు నావిగేషన్ సెట్ చేశాను. మార్గం మీ స్క్రీన్ మీద చూడవచ్చు.,Set navigation to Guntur.,I have set navigation to Guntur. You can see the route on your screen.
లైట్లు కొంచెం ఎక్కువ చేయ్.,లైట్లు ఎక్కువ చేశాను.,Turn the lights up a bit.,I have turned the lights up.
వాల్యూమ్ తగ్గించు.,వాల్యూమ్ తగ్గించాను.,Turn the volume down.,I have turned the volume down.
నేను కోపంగా ఉన్నాను.,మీరు కోపంగా ఉన్నారని వినడానికి నాకు బాధగా ఉంది. కూల్ డౌన్ అయ్యేందుకు సంగీతం ప్లే చేయనా?,I am angry.,I'm sorry to hear you're angry. Shall I play some music to help you cool down?
నేను భయపడుతున్నాను.,మీరు భయపడుతున్నారని వినడానికి నాకు బాధగా ఉంది. మిమ్మల్ని ధైర్యపరచడానికి ఏదైనా చేయగలనా?,I am scared.,I'm sorry to hear you're scared. Is there anything I can do to make you feel braver?
వెనుకకు తిరుగు.,వెనుకకు తిరగడానికి ప్రయత్నిస్తున్నాను. దారిలో ఏమైనా అడ్డంకులు ఉంటే జాగ్రత్తగా ఉండండి.,Turn around.,Trying to turn around. Please be careful of any obstacles in the way.
ఏసీ ఆఫ్ చేయ్.,"సరే, ఏసీ ఆఫ్ చేశాను.",Turn off the AC.,"Okay, I have turned off the AC."
"చల్లగా ఉంది, హీటర్ ఆన్ చేయ్.",సరే హీటర్ ఆన్ చేశాను.,"It's cold, turn on the heater.","Okay, I have turned on the heater."
లైట్లు ఆఫ్ చేయ్.,లైట్లు ఆఫ్ చేశాను.,Turn off the lights.,I have turned off the lights.
మ్యూజిక్ ఆపు.,సంగీతం ఆపేశాను.,Stop the music.,I have stopped the music.
నాకు ఆశ్చర్యంగా ఉంది!,అద్భుతం! నేను మీ కోసం ఏదైనా ప్రత్యేకంగా చేయగలనా?,I am surprised!,Wonderful! Is there anything special I can do for you?
దగ్గరలోని పెట్రోల్ బంకుకు నావిగేట్ చేయ్.,"సరే, దగ్గరలోని పెట్రోల్ బంకుకు నావిగేషన్ సెట్ చేస్తున్నాను.",Navigate to the nearest petrol station.,"Okay, I am setting navigation to the nearest petrol station."
నాకు చాలా అలసిపోయింది.,"మీరు అలసిపోయి ఉన్నారని వినడానికి విచారంగా ఉంది. నేను మీ సీటుని మసాజ్ మోడ్‌లో పెట్టనా, మరియు కాస్త లైట్లను తగ్గించనా?",I'm very tired.,I'm sorry to hear that you're tired. Should I put your seat in massage mode and dim the lights a little?
చాలా సంతోషంగా ఉంది!,అది వినడానికి చాలా ఆనందంగా ఉంది! నేను మీకు ఇష్టమైన పాట ప్లే చేయనా?,I'm so happy!,That's great to hear! Shall I play your favourite song?
నాకు ఒత్తిడిగా ఉంది.,మీకు ఒత్తిడిగా ఉందని వినడానికి విచారంగా ఉంది. నేను మీ కోసం శ్వాస వ్యాయామం చేయించనా లేదా శాంతపరిచే సంగీతం ప్లే చేయనా?,I'm stressed.,I'm sorry to hear you're stressed. Should I guide you through a breathing exercise or play some relaxing music?
సంగీతం పెట్టు.,ఖచ్చితంగా. మీరు వినడానికి ఏమైనా ప్రత్యేకమైనది ఉందా?,Play some music.,Sure. Is there anything specific you'd like to listen to?
లైట్లు కొంచెం ప్రకాశవంతం చేయి.,"సరే, లైట్లు ఇప్పుడు ప్రకాశవంతంగా ఉన్నాయి.",Make the lights a bit brighter.,"Okay, the lights are brighter now."
కిటికీలు కొంచెం దించు.,"అలాగే, కిటికీలు ఇప్పుడు కొంచెం దించబడ్డాయి.",Lower the windows a little.,"Alright, the windows are now lowered a bit."
ఏసీ ఆన్ చెయ్యి.,"సరే, ఏసీ ఇప్పుడు ఆన్‌లో ఉంది. మీకు ఏమైనా నిర్దిష్ట ఉష్ణోగ్రత కావాలా?",Turn on the AC.,"Okay, the AC is now on. Do you have a specific temperature in mind?"
గాలి చల్లగా చెయ్యి.,"సరే, ఉష్ణోగ్రతను తగ్గిస్తున్నాను.",Make the air colder.,"Okay, lowering the temperature."
నన్ను ఇంటికి తీసుకెళ్ళు.,"సరే, ఇంటికి మార్గం ప్రారంభించబడింది.",Take me home.,"Okay, route to home has been initiated."
నాకు కోపంగా ఉంది.,మీకు కోపంగా ఉందని వినడానికి విచారంగా ఉంది. నేను మీ కోసం శాంతపరిచే దృశ్యాలను చూపించనా?,I'm angry.,I'm sorry to hear you're angry. Should I display some calming scenery for you?
కొంచెం వేడిగా ఉంది.,"సరే, ఉష్ణోగ్రతను కొంచెం తగ్గిస్తున్నాను.",It's a bit too hot.,"Okay, I'm lowering the temperature a bit."
వాల్యూమ్ పెంచు.,"సరే, వాల్యూమ్ పెంచబడింది.",Turn up the volume.,"Okay, volume increased."
వాల్యూమ్ తగ్గించు.,"సరే, వాల్యూమ్ తగ్గించబడింది.",Turn down the volume.,"Okay, volume decreased."
నాకు నచ్చిన పాట పెట్టు.,ఖచ్చితంగా. మీ ప్లేజాబితా నుండి మీకు నచ్చిన పాట ప్లే చేస్తున్నాను.,Play my favourite song.,Sure. Playing your favourite song from your playlist.
ముందున్న పెట్రోల్ బంక్ ఎక్కడ ఉంది?,ముందున్న పెట్రోల్ బంక్ మరో రెండు కిలోమీటర్ల దూరంలో ఉంది. మీకు అక్కడికి నావిగేట్ చేయాలా?,Where is the nearest petrol station?,The nearest petrol station is two kilometres ahead. Would you like me to navigate there?
నేను నిద్రపోతున్నాను.,మీరు నిద్రపోతున్నారా? రోడ్డుపై శ్రద్ధగా ఉండండి. నేను మిమ్మల్ని అలర్ట్ చేయడానికి అలారం మోగించాలా?,I'm falling asleep.,Are you falling asleep? Please stay focused on the road. Should I sound an alarm to alert you?
నాకు ఆశ్చర్యంగా ఉంది!,అద్భుతం! ఏమి జరిగింది?,I'm surprised!,Wonderful! What happened?
రూట్ మార్చు.,"సరే, రూట్ మార్చబడుతోంది. ప్రత్యామ్నాయ మార్గం కనుగొనబడింది.",Change the route.,"Okay, the route is being changed. An alternate route has been found."
నా సీటును వెనక్కి వంచు.,"సరే, సీటు వెనక్కి వంచబడుతుంది.",Recline my seat.,"Okay, the seat is being reclined."
గాలిని వెచ్చగా చెయ్యి.,"సరే, ఉష్ణోగ్రతను పెంచుతున్నాను.",Make the air warmer.,"Okay, I'm increasing the temperature."
నాకు చాలా అలసటగా ఉంది.,"మీకు అలసటగా ఉందని తెలుసుకున్నాను. సీటు కొంచెం వాలుగా చేసి, కాస్త వెచ్చదనాన్ని పెంచనా?",I am very tired.,I understand you are tired. Should I recline the seat a little and increase the warmth slightly?
నేను చాలా సంతోషంగా ఉన్నాను!,అది వినడానికి చాలా సంతోషంగా ఉంది! మీకోసం మంచి పాట ప్లే చేయనా?,I am very happy!,That's great to hear! Should I play a cheerful song for you?
నాకు ఒత్తిడిగా ఉంది.,మీకు ఒత్తిడిగా ఉందా? శాంతపరిచే సంగీతం మరియు డిఫ్యూజర్ ఆన్ చేస్తాను. మీరు గమ్యస్థానానికి చేరుకునే సమయం వరకు మీకు విశ్రాంతి లభిస్తుంది.,I am stressed.,Are you feeling stressed? I will turn on some calming music and the diffuser. You will be relaxed by the time you reach your destination.
సంగీతం పెట్టండి.,తప్పకుండా. ఏ రకమైన పాట కావాలి?,Play music.,Sure. What genre would you like?
లైట్లు కొంచెం తగ్గించండి.,"ఖచ్చితంగా, లైట్లు ఇప్పుడు తక్కువగా ఉన్నాయి.",Dim the lights a little.,"Sure, the lights are dimmed now."
కిటికీలు తెరవండి.,అన్ని కిటికీలు తెరిచాను.,Open the windows.,I have opened all the windows.
ఏసీ ఆన్ చేయండి.,"ఖచ్చితంగా, ఏసీ ఆన్ చేశాను. మీకు కావలసిన ఉష్ణోగ్రత ఎంత?",Turn on the AC.,"Sure, I've turned on the AC. What temperature would you like?"
గాలి కొంచెం వేడిగా చేయండి.,"సరే, ఉష్ణోగ్రత పెంచాను.",Make the air a little warmer.,"Okay, I've increased the temperature."
గుంటూరుకి నావిగేషన్ సెట్ చేయండి.,గుంటూరుకి నావిగేషన్ సెట్ చేశాను. దారిలో ట్రాఫిక్ కూడా చూపిస్తాను.,Set navigation to Guntur.,I have set navigation to Guntur. I will also show you the traffic on the way.
నేను నీరసంగా ఉన్నాను.,మీరు నీరసంగా ఉన్నారని తెలుసుకున్నాను. సీటులో మసాజ్ ఫంక్షన్ ఆన్ చేయనా?,I am feeling weak.,I understand you are feeling weak. Should I turn on the massage function in the seat?
చాలా వేడిగా ఉంది.,"క్షమించండి, ఏసీ చల్లగా చేశాను. ఇప్పుడు ఎలా ఉంది?",It's too hot.,"Sorry about that, I've turned the AC cooler. How is it now?"
చల్లగా ఉంది.,క్షమించండి. హీటర్ ఆన్ చేశాను.,It's cold.,Sorry about that. I've turned on the heater.
కొంచెం పెద్దగా పాటలు పెట్టండి.,సంగీతం కొంచెం పెద్దగా చేశాను.,Play the music a little louder.,I have turned the music up a little louder.
బాటసారుల వెలుతురు చాలా ఎక్కువగా ఉంది.,వెలుతురు తగ్గించాను.,The headlights are too bright for oncoming traffic.,I have dimmed the headlights.
తర్వాతి పాట పెట్టండి.,"ఖచ్చితంగా, తర్వాతి పాట ప్లే చేస్తున్నాను.",Play the next song.,"Sure, playing the next song."
నేను కోపంగా ఉన్నాను.,క్షమించండి. నేను మీకు సహాయం చేయడానికి ప్రయత్నిస్తాను. మీకు ఇష్టమైన పాట ప్లే చేయనా లేక మీకు ప్రశాంతమైన ప్రదేశానికి మార్గం చూపించనా?,I am angry.,"I'm sorry to hear that. I'll try to help you. Would you like me to play your favorite song, or guide you to a quiet place?"
