input,output
क्या मैं आपकी मदद कर सकता हूँ?,"धन्यवाद, मुझे अभी कोई मदद नहीं चाहिए।"
आपका नाम क्या है?,मेरा नाम [नाम] है। आपका क्या नाम है?
आपका दिन कैसा रहा?,"मेरा दिन अच्छा रहा, धन्यवाद। आपका कैसा रहा?"
"माफ़ कीजिए, क्या आप मुझे [स्थान] का रास्ता बता सकते हैं?","ज़रूर, आप सीधे जाइए और फिर दाएं मुड़िए।"
क्या हालचाल हैं?,"सब बढ़िया है, आपका क्या हाल है?"
धन्यवाद! आपकी मदद के लिए बहुत आभारी हूँ।,आपका स्वागत है! मुझे खुशी है कि मैं मदद कर सका।
"अच्छा, फिर मिलेंगे!","ठीक है, फिर मिलते हैं! अपना ख्याल रखना।"
यह बहुत अच्छा है!,"हाँ, मुझे भी यह बहुत पसंद आया।"
क्या आप यहाँ पहली बार आए हैं?,"हाँ, मैं यहाँ पहली बार आया हूँ।"
आपका पसंदीदा रंग कौन सा है?,मेरा पसंदीदा रंग नीला है। आपका कौन सा है?
"मुझे माफ़ करना, मुझे देर हो गई।","कोई बात नहीं, होता है।"
क्या आप चाय या कॉफी लेना चाहेंगे?,"मैं कॉफी लेना चाहूँगा, धन्यवाद।"
यह क्या है?,यह एक [वस्तु] है।
आपका व्यवसाय कैसा चल रहा है?,"मेरा व्यवसाय ठीक चल रहा है, धन्यवाद।"
क्या आप कृपया दोहरा सकते हैं?,"ज़रूर, मैं दोहराता हूँ।"
आपका परिवार कैसा है?,"मेरा परिवार अच्छा है, धन्यवाद। आपके परिवार में सब कैसे हैं?"
नमस्ते! आपका क्या हाल है?,"नमस्ते! मैं ठीक हूँ, धन्यवाद। आप कैसे हैं?"
सुप्रभात! आपका दिन कैसा रहेगा?,सुप्रभात! उम्मीद है मेरा दिन अच्छा रहेगा। आपका भी दिन शुभ हो।
"नमस्कार, मिलकर बहुत खुशी हुई।","नमस्कार, मुझे भी आपसे मिलकर बहुत खुशी हुई।"
आपका नाम क्या है?,मेरा नाम [आपका नाम] है। और आपका?
आप कहाँ से हैं?,मैं [शहर/देश का नाम] से हूँ। और आप?
मौसम कैसा है?,मौसम आज [मौसम का विवरण] है।
क्या आप मेरी मदद कर सकते हैं?,"ज़रूर, मैं आपकी मदद करने में प्रसन्न हूँ। कैसे मदद कर सकता हूँ?"
धन्यवाद! आपकी मदद के लिए मैं आभारी हूँ।,कोई बात नहीं! मुझे खुशी है कि मैं आपकी मदद कर पाया।
"माफ़ कीजिए, क्या आप दोहरा सकते हैं?","ज़रूर, मैं इसे दोहराता हूँ।"
क्या आप कृपया इसे धीरे-धीरे बोल सकते हैं?,"क्षमा करें, मैं धीरे-धीरे बोलने की कोशिश करूंगा।"
आप क्या काम करते हैं?,मैं [आपका व्यवसाय/पेशे का नाम] हूँ। और आप?
आजकल क्या चल रहा है?,"कुछ खास नहीं, बस काम और थोड़ी मौज-मस्ती। और आपके जीवन में क्या चल रहा है?"
आपकी पसंदीदा फिल्म कौन सी है?,मेरी पसंदीदा फिल्म [फिल्म का नाम] है। आपको कौन सी पसंद है?
आपको क्या करना पसंद है?,मुझे [हॉबी/शौक का नाम] करना पसंद है। और आपको?
आपका दिन कैसा बीता?,मेरा दिन अच्छा बीता। आपका कैसा बीता?
फिर मिलेंगे!,"ज़रूर, फिर मिलते हैं!"
अलविदा! अपना ख्याल रखना।,अलविदा! आप भी अपना ख्याल रखना।
शुभ रात्रि!,शुभ रात्रि! आपको भी शुभ रात्रि!
"क्षमा कीजिए, मुझे देर हो गई।",कोई बात नहीं। आइए आगे बढ़ें।
यह बहुत अच्छा है!,"हाँ, यह वाकई बहुत अच्छा है!"
नमस्ते! आपका क्या हाल है?,"नमस्ते! मैं ठीक हूँ, धन्यवाद। आप कैसे हैं?"
शुभ प्रभात! आपका दिन कैसा है?,"शुभ प्रभात! मेरा दिन अच्छा है, धन्यवाद। आपका दिन कैसा जा रहा है?"
"नमस्कार, आपसे मिलकर खुशी हुई।","नमस्कार, मुझे भी आपसे मिलकर बहुत खुशी हुई।"
कैसे हैं आप?,"मैं ठीक हूँ, धन्यवाद। आप बताइए?"
आज मौसम कैसा है?,आज मौसम बहुत सुहावना है।
क्या आप मुझे जानते हैं?,"माफ़ कीजिए, मुझे याद नहीं आ रहा। क्या हम पहले मिले हैं?"
आपका नाम क्या है?,मेरा नाम [नाम] है। और आपका?
आप कहाँ से हैं?,मैं [शहर] से हूँ। आप कहाँ से हैं?
क्या आप कृपया मेरी मदद कर सकते हैं?,"ज़रूर, मैं आपकी क्या मदद कर सकता हूँ?"
धन्यवाद आपकी मदद के लिए।,कोई बात नहीं। मुझे खुशी है कि मैं मदद कर सका।
"क्षमा कीजिए, क्या मैं यहाँ बैठ सकता हूँ?","हाँ, बिल्कुल। कृपया बैठ जाइए।"
क्या आप हिंदी बोलते हैं?,"हाँ, मैं थोड़ी हिंदी बोलता हूँ।"
आपका दिन कैसा रहा?,मेरा दिन अच्छा रहा। और आपका?
आज आपने क्या किया?,आज मैंने [गतिविधि] किया। और आपने?
क्या आप चाय या कॉफ़ी लेना चाहेंगे?,"मैं चाय लेना चाहूँगा, धन्यवाद।"
आप क्या करते हैं?,मैं [पेशा] हूँ। आप क्या करते हैं?
क्या आप यहाँ नए हैं?,"हाँ, मैं यहाँ नया हूँ।"
आपका स्वागत है!,धन्यवाद!
फिर मिलेंगे!,"ज़रूर, फिर मिलेंगे!"
शुभ रात्रि!,शुभ रात्रि! और आपको भी।
आज मैं बहुत खुश हूँ!,यह सुनकर मुझे बहुत अच्छा लगा! क्या मैं आपके लिए कोई पसंदीदा गाना बजाऊं?
"मुझे बहुत थकान महसूस हो रही है, ड्राइव करना मुश्किल हो रहा है।",मैं समझता हूँ। क्या मैं पास के किसी रेस्ट स्टॉप या कॉफी शॉप के लिए नेविगेशन शुरू करूँ? या फिर आपको आराम करने के लिए सीट को थोड़ा पीछे झुकाना है?
"बहुत तनाव है, ऑफिस का काम खत्म ही नहीं हो रहा।",मुझे यह सुनकर दुख हुआ। क्या मैं आरामदायक संगीत लगाऊं और आंतरिक रोशनी को थोड़ा मंद कर दूं? आप चाहें तो मैं पास के किसी स्पा के लिए नेविगेशन भी शुरू कर सकता हूँ।
ये गर्मी असहनीय है! एसी चालू करो!,"ज़रूर, एसी चालू कर दिया गया है। क्या आपको तापमान और कम करने की आवश्यकता है?"
"ये गाना बिल्कुल पसंद नहीं आ रहा, म्यूज़िक बदलो!","ठीक है, संगीत बदल दिया गया है। क्या आप कोई खास शैली सुनना चाहेंगे?"
"मुझे घर जाना है, नेविगेशन शुरू करो।","ज़रूर, आपके घर के लिए नेविगेशन शुरू किया जा रहा है। अनुमानित आगमन समय [अनुमानित आगमन समय] है।"
"मुझे ठंड लग रही है, हीटर चालू करो।","ज़रूर, हीटर चालू कर दिया गया है। तापमान बढ़ाना है?"
मैं बहुत उत्साहित हूँ! छुट्टी पर जा रहा हूँ!,बहुत बढ़िया! आपकी यात्रा मंगलमय हो। क्या मैं आपके गंतव्य के लिए नेविगेशन शुरू करूँ?
आज मूड बहुत खराब है।,मुझे सुनकर दुख हुआ। क्या मैं कोई सुखदायक संगीत लगाऊं या आपको कोई शांत करने वाला पॉडकास्ट सुनाऊं?
"मुझे भूख लगी है, आस-पास कोई अच्छा रेस्टोरेंट दिखाओ।","ज़रूर, मैं आस-पास के कुछ लोकप्रिय रेस्टोरेंट दिखा सकता हूँ। क्या आपकी कोई विशेष पसंद है?"
"मुझे नींद आ रही है, कुछ ऐसा करो जिससे नींद भागे।","ठीक है, मैं कुछ तेज़ संगीत बजाता हूँ और हवा का प्रवाह थोड़ा बढ़ाता हूँ। क्या इससे मदद मिलती है? यदि नहीं, तो मैं पास के किसी कॉफी शॉप का सुझाव दे सकता हूँ।"
"खिड़की खोलो, हवा चाहिए।","ज़रूर, खिड़की खोल दी गई है।"
गाड़ी को पार्किंग में लगाओ।,"ठीक है, पार्किंग असिस्ट सक्रिय किया जा रहा है। कृपया निर्देशों का पालन करें।"
मुझे बहुत गुस्सा आ रहा है!,मैं समझता हूँ। कृपया शांत रहें। क्या मैं आपके लिए कोई शांत करने वाला संगीत बजाऊं या आपको किसी मनोचिकित्सक के बारे में जानकारी दूं?
"ये रास्ता गलत है, दोबारा रूट करो।","ठीक है, रूट का पुनर्गणना किया जा रहा है। कृपया थोड़ी देर प्रतीक्षा करें।"
मुझे थोड़ा तेज़ संगीत सुनना है।,"ज़रूर, संगीत की आवाज़ बढ़ा दी गई है। क्या यह ठीक है?"
"मुझे पेट्रोल पंप ढूंढना है, आस-पास कोई है क्या?","ज़रूर, मैं आस-पास के पेट्रोल पंप दिखा सकता हूँ। क्या आप किसी विशेष ब्रांड को पसंद करते हैं?"
मुझे अपने दोस्त को कॉल करना है।,"ज़रूर, मैं आपके दोस्त को कॉल लगा सकता हूँ। कृपया नाम बताएं।"
मुझे आज बहुत अकेला महसूस हो रहा है।,मुझे यह सुनकर दुख हुआ। क्या मैं आपके परिवार या दोस्तों को कॉल लगाऊं? या फिर आपको कोई कहानी सुनना पसंद है?
"हेडलाइट्स बंद करो, बहुत रोशनी है।","ठीक है, हेडलाइट्स बंद कर दी गई हैं।"
आज मैं बहुत खुश हूँ!,ये सुनकर मुझे बहुत खुशी हुई! क्या मैं आपके लिए कोई खुशी का गाना बजाऊं?
"मेरा सिर दर्द कर रहा है, मुझे थकान महसूस हो रही है।",मुझे सुनकर दुख हुआ। क्या मैं केबिन की रोशनी कम कर दूं और कोई शांत संगीत लगा दूं? शायद मसाज सीट चालू करने से भी आराम मिले।
"एसी चालू करो, बहुत गर्मी लग रही है।","ज़रूर, एसी चालू कर दिया गया है। तापमान 22 डिग्री सेल्सियस पर सेट है। क्या आप तापमान बदलना चाहेंगे?"
"मुझे बहुत तनाव हो रहा है, मीटिंग बहुत खराब रही।",मुझे सुनकर दुख हुआ। मैं आपको रिलैक्स करने में मदद कर सकती हूं। क्या आप चाहती हैं कि मैं आपको आपके पसंदीदा स्पा के रास्ते पर ले चलूं? या शायद कोई कॉमेडी शो चला दूं?
"गाना बदलो, ये गाना पसंद नहीं आ रहा।","ठीक है, गाना बदल दिया गया है। क्या आप कोई विशेष शैली सुनना चाहेंगे? जैसे कि पॉप, रॉक, या शास्त्रीय संगीत?"
घर के लिए नेविगेशन शुरू करो।,घर के लिए नेविगेशन शुरू कर दिया गया है। अनुमानित आगमन समय 6:30 PM है। क्या आप रूट पर कोई बदलाव करना चाहेंगे?
"मैं बहुत बोर हो रहा हूँ, कुछ नया सुनाओ।","मैं आपको कुछ मजेदार तथ्य या चुटकुले सुना सकती हूँ। या फिर, मैं आपके लिए एक दिलचस्प पॉडकास्ट खोज सकती हूँ।"
"खिड़की खोलो, मुझे ताजी हवा चाहिए।","खिड़की खोली जा रही है। कृपया सावधानी बरतें, बाहर प्रदूषण का स्तर सामान्य से अधिक है।"
आज मैं बहुत अकेला महसूस कर रहा हूँ।,मुझे सुनकर दुख हुआ। क्या आप किसी दोस्त या परिवार के सदस्य को कॉल करना चाहेंगे? या मैं आपके लिए कुछ सकारात्मक और प्रेरणादायक बातें पढ़ सकती हूं?
"म्यूजिक बंद करो, मुझे शांति चाहिए।",म्यूजिक बंद कर दिया गया है।
मुझे बहुत गुस्सा आ रहा है! ट्रैफिक बहुत खराब है!,मैं समझ सकती हूँ। क्या मैं आपको कोई शांत संगीत बजाकर या एक वैकल्पिक मार्ग ढूंढकर शांत करने में मदद कर सकती हूँ?
"केबिन का तापमान बढ़ाओ, मुझे ठंड लग रही है।",केबिन का तापमान 2 डिग्री सेल्सियस बढ़ा दिया गया है। वर्तमान तापमान 24 डिग्री सेल्सियस है। क्या आपको अब ठीक लग रहा है?
ये रास्ता गलत है! नेविगेशन को रीसेट करो।,क्षमा करें। रूट को रीसेट किया जा रहा है। कृपया कुछ ही क्षणों में नया रूट उपलब्ध होगा।
"मुझे नींद आ रही है, कुछ जगाने वाला बजाओ।","ठीक है, मैं आपके लिए कुछ तेज़-तर्रार संगीत बजाती हूँ। क्या आप कॉफी ब्रेक लेना चाहेंगे? मैं आपको अगले कैफे के लिए नेविगेट कर सकती हूँ।"
"मुझे बारिश की आवाज़ बहुत पसंद है, वो चलाओ।","ज़रूर, बारिश की आवाज़ शुरू कर दी गई है। क्या आप इसमें कोई अन्य शांत ध्वनि जोड़ना चाहेंगे, जैसे चिड़ियों का चहचहाना?"
"आगे के पेट्रोल स्टेशन के लिए नेविगेट करो, ईंधन कम है।",आगे के पेट्रोल स्टेशन के लिए नेविगेशन शुरू कर दिया गया है। यह 5 किलोमीटर दूर है।
"मुझे आज अच्छा महसूस नहीं हो रहा, डॉक्टर को कॉल करो।",क्या मैं आपके डॉक्टर को कॉल करूँ और अपॉइंटमेंट बुक करूँ? या मैं आपको सीधे उनके कार्यालय के लिए नेविगेट कर सकती हूँ?
"लाइटें तेज करो, अंधेरा हो रहा है।",हेडलाइट्स और केबिन लाइटें तेज कर दी गई हैं।
"मुझे हंसी आ रही है, कोई मजेदार कहानी सुनाओ।","ज़रूर, मैं आपको एक मजेदार कहानी सुनाती हूँ। ... [कहानी शुरू होती है]"
"सीट को थोड़ा पीछे करो, मुझे आराम चाहिए।",सीट को थोड़ा पीछे कर दिया गया है। क्या आप पीठ के निचले हिस्से के सपोर्ट को भी समायोजित करना चाहेंगे?
आज बहुत थकान हो रही है।,मैं समझ सकती हूँ। सीट को थोड़ा झुका देती हूँ और हल्की मसाज शुरू कर देती हूँ? कैसा रहेगा?
"गाना बदलो, मूड अच्छा नहीं है।",ज़रूर। क्या मैं कुछ उत्साहित करने वाले गाने चलाऊँ?
"एसी चालू करो, गर्मी लग रही है।","एसी चालू कर दिया गया है। तापमान 22 डिग्री सेल्सियस पर सेट है, आप चाहें तो इसे बदल सकते हैं।"
मुझे बहुत खुश महसूस हो रहा है!,बहुत बढ़िया! क्या मैं आपकी खुशी में साथ देने के लिए थोड़ा तेज़ संगीत चलाऊँ?
ये ट्रैफिक कब खत्म होगा? बहुत तनाव हो रहा है।,"मुझे पता है, यह निराशाजनक है। मैंने रूट बदल दिया है, उम्मीद है कि जल्द ही हम ट्रैफिक से बाहर निकल जाएंगे। इस बीच, क्या आप कुछ शांतिपूर्ण संगीत सुनना चाहेंगे?"
अगला पेट्रोल पंप कहाँ है?,आपके रूट पर अगला पेट्रोल पंप 5 किलोमीटर दूर है। क्या मैं नेविगेशन शुरू करूँ?
"खिड़की खोलो, ताज़ी हवा चाहिए।","ठीक है, खिड़की खोल दी गई है।"
मुझे नींद आ रही है।,मैं समझ सकती हूँ। क्या मैं सीट को थोड़ा सीधा करूँ और आपको जगाए रखने के लिए कुछ तेज़ संगीत चलाऊँ?
मुझे बहुत गुस्सा आ रहा है!,शांत हो जाइए। मैं आपकी मदद कर सकती हूँ। क्या मैं कुछ शांतिपूर्ण संगीत चलाऊँ और तापमान थोड़ा कम कर दूँ?
"नेविगेशन शुरू करो, मुझे घर जाना है।",आपके घर का पता सेट कर दिया गया है। नेविगेशन शुरू हो रहा है।
"ये गाना मुझे पसंद नहीं है, अगला बजाओ।","ज़रूर, अगला गाना बजाया जा रहा है।"
आज मौसम कैसा है?,आज मौसम धूप वाला है और तापमान 28 डिग्री सेल्सियस है।
मुझे भूख लग रही है। आसपास कोई रेस्टोरेंट है?,आपके आसपास 3 रेस्टोरेंट हैं। क्या मैं उनके बारे में जानकारी दिखाऊँ?
"लाइटें बंद करो, बहुत रौशनी है।","ठीक है, आंतरिक लाइटें बंद कर दी गई हैं।"
मुझे बहुत अकेला महसूस हो रहा है।,मैं समझ सकती हूँ। क्या मैं किसी दोस्त या परिवार के सदस्य को कॉल करने में आपकी मदद कर सकती हूँ?
गाड़ी पार्क करो।,क्या आप चाहते हैं कि मैं आस-पास पार्किंग स्थान ढूंढूँ?
बैटरी कितनी बची है?,आपकी बैटरी 65% बची है।
फोन करो [संपर्क का नाम],[संपर्क का नाम] को कॉल किया जा रहा है।
मुझे चुटकुला सुनाओ।,"ठीक है, सुनिए: एक आदमी डॉक्टर के पास गया और बोला, 'डॉक्टर साहब, मुझे ये बीमारी है कि मुझे सब कुछ दो-दो दिखता है।' डॉक्टर ने उसे चश्मा पहनाया और बोला, 'अब बताओ।' आदमी बोला, 'मुझे अब भी दो-दो दिख रहे हैं।' डॉक्टर बोला, 'अरे! इसका मतलब ये है कि मैंने आपको चार चश्मे पहना दिए!' कैसा लगा?"
अपनी आवाज थोड़ी धीमी करो।,माफ़ कीजिए। आवाज धीमी कर दी गई है।
आज बहुत थकान हो रही है।,समझ गया। सीट थोड़ी पीछे कर देता हूँ और मालिश शुरू कर देता हूँ? इससे आपको थोड़ा आराम मिलेगा।
"ये ट्रैफिक बहुत परेशान कर रहा है, मुझे तनाव हो रहा है।",शांत हो जाइए। मैं आपको एक शांत करने वाला संगीत चलाता हूँ और अगले 5 मिनट के लिए ड्राइविंग असिस्टेंस सक्रिय कर देता हूँ।
मैं बहुत खुश हूँ! मौसम कितना अच्छा है!,बढ़िया! छत खोल दूं क्या? खुले आसमान में गाने सुनना और भी मजेदार रहेगा।
"खिड़की खोलो, थोड़ी ताज़ी हवा चाहिए।","ज़रूर, खिड़की खोल दी गई है। क्या आपको सभी खिड़कियाँ खोलनी हैं?"
"एसी चालू करो, गर्मी लग रही है।",एसी चालू कर दिया गया है। तापमान 22 डिग्री सेल्सियस पर सेट है। क्या आप तापमान बदलना चाहेंगे?
"म्यूज़िक बदलो, ये गाना पसंद नहीं आ रहा।",ठीक है। किस तरह का संगीत सुनना चाहेंगे? या मैं आपके लिए कोई नया प्लेलिस्ट चलाऊं?
"नेविगेशन शुरू करो, मुझे घर जाना है।",घर के लिए नेविगेशन शुरू कर दिया गया है। अनुमानित आगमन समय 6:30 बजे है। क्या आप वैकल्पिक मार्ग देखना चाहेंगे?
"मेरा फोन चार्ज नहीं है, चार्जिंग पोर्ट खोलो।",चार्जिंग पोर्ट खोल दिया गया है। कृपया अपना फोन कनेक्ट करें।
आज मैं बहुत अकेला महसूस कर रहा हूँ।,"मैं समझ सकता हूँ। क्या आप चाहेंगे कि मैं आपके किसी दोस्त को कॉल करूँ, या फिर कोई मनोरंजक पॉडकास्ट चलाऊँ?"
"ये सड़क बहुत खराब है, सस्पेंशन को कम्फर्ट मोड पर डालो।",सस्पेंशन को कम्फर्ट मोड पर डाल दिया गया है। अब आपको सड़क पर थोड़ा आराम महसूस होगा।
"मुझे भूख लगी है, आस-पास कोई रेस्टोरेंट ढूंढो।","ज़रूर, आस-पास कई रेस्टोरेंट हैं। आप किस प्रकार का भोजन करना चाहेंगे?"
"लाइटें तेज़ करो, अंधेरा हो रहा है।",लाइटें तेज़ कर दी गई हैं। क्या आपको बीम की ऊंचाई भी समायोजित करनी है?
"मुझे नींद आ रही है, गाड़ी थोड़ी देर के लिए रोको।",ठीक है। मैं आस-पास एक सुरक्षित जगह ढूंढ रहा हूँ जहाँ गाड़ी रोकी जा सके। क्या आपको कोई खास जगह चाहिए?
"गाड़ी को इको मोड पर डालो, पेट्रोल बचाना है।",गाड़ी को इको मोड पर डाल दिया गया है। अब आपको बेहतर माइलेज मिलेगा।
"ये गाना बहुत अच्छा है, इसे प्लेलिस्ट में जोड़ दो।",यह गाना आपकी 'पसंदीदा' प्लेलिस्ट में जोड़ दिया गया है।
मुझे बहुत गुस्सा आ रहा है।,मैं समझ सकता हूँ। मैं आपको एक प्रेरणादायक उद्धरण सुनाता हूँ और सीट को थोड़ा ठंडा कर देता हूँ। इससे आपको थोड़ा बेहतर महसूस होगा।
"पीछे देखो, कोई गाड़ी आ रही है क्या?","हाँ, आपके पीछे एक गाड़ी आ रही है। वह तेज़ गति से आ रही है, कृपया सावधान रहें।"
इस रूट पर कितना टोल टैक्स लगेगा?,इस रूट पर कुल ₹150 टोल टैक्स लगेगा।
अगला पेट्रोल पंप कहाँ है?,अगला पेट्रोल पंप 5 किलोमीटर दूर है।
सारे दरवाजे लॉक करो।,सारे दरवाजे लॉक कर दिए गए हैं।
आज मैं बहुत खुश हूँ!,बहुत बढ़िया! सुनकर खुशी हुई। क्या मैं आपके लिए कोई खास गाना चलाऊं या कोई मनपसंद जगह का रास्ता दिखाऊं?
"यार, आज ऑफिस में बहुत तनाव था।",मैं समझ सकती हूँ। थोड़ी देर आराम करने के लिए क्या मैं आरामदायक संगीत चलाऊं और मसाज मोड शुरू कर दूं?
"मुझे बहुत नींद आ रही है, गाड़ी चलाना मुश्किल हो रहा है।",कृपया सावधान रहें। क्या मैं आस-पास के किसी सुरक्षित स्थान पर गाड़ी रोक दूं और आपको थोड़ी देर आराम करने दूं? या फिर मैं आपको कैफीन युक्त पेय पदार्थों के बारे में जानकारी दूं?
"ये गाना मुझे पसंद नहीं आ रहा, अगला गाना चलाओ।","ज़रूर, अगला गाना चलाया जा रहा है। क्या आप कोई खास शैली सुनना चाहेंगे?"
आगे के रास्ते का नेविगेशन शुरू करो। मुझे घर जाना है।,"ठीक है, घर के लिए नेविगेशन शुरू किया जा रहा है। कृपया सुरक्षित रूप से ड्राइव करें।"
"एसी चालू करो, गर्मी लग रही है।","एसी चालू कर दिया गया है। तापमान आपके अनुसार सेट करने के लिए, कृपया बताएं।"
"खिड़की खोलो, मुझे ताज़ी हवा चाहिए।",खिड़की खोली जा रही है। क्या मैं इसे पूरी तरह से खोलूं या थोड़ा सा?
मैं बहुत उदास महसूस कर रहा हूँ।,मुझे सुनकर दुख हुआ। क्या मैं आपके लिए कुछ प्रेरक बातें सुनाऊं या आपकी किसी पसंदीदा जगह पर ले चलूं?
"म्यूजिक बंद करो, फोन आ रहा है।",म्यूजिक बंद कर दिया गया है। कॉल कनेक्ट किया जा रहा है।
"आवाज बढ़ाओ, मुझे ठीक से सुनाई नहीं दे रहा।",आवाज बढ़ा दी गई है। क्या आवाज और बढ़ानी है?
"मुझे भूख लगी है, आस-पास कोई रेस्टोरेंट बताओ।","ज़रूर, आपके आस-पास के रेस्टोरेंट खोजे जा रहे हैं। क्या आप किसी खास तरह का खाना पसंद करेंगे?"
बहुत थकान हो रही है।,समझ सकती हूँ। क्या मैं ड्राइवर असिस्टेंस सिस्टम चालू कर दूं ताकि आपको थोड़ी राहत मिले?
"लाइटें चालू करो, अंधेरा हो रहा है।",लाइटें चालू कर दी गई हैं। क्या हेडलाइट्स को ऑटो मोड पर सेट करना है?
इस गाने को मेरी प्लेलिस्ट में जोड़ दो।,यह गाना आपकी प्लेलिस्ट में जोड़ दिया गया है।
अगला पेट्रोल पंप कहाँ है?,"आपके आस-पास के पेट्रोल पंप खोजे जा रहे हैं। सबसे नज़दीकी पेट्रोल पंप [पेट्रोल पंप का नाम] है, जो [दूरी] दूर है।"
"आज मूड बहुत अच्छा है, थोड़ा तेज़ म्यूजिक बजाओ।",बिल्कुल! तेज़ म्यूजिक बजाया जा रहा है। उम्मीद है आपको पसंद आएगा!
"ये रूट बहुत लंबा है, कोई छोटा रास्ता बताओ।","ठीक है, छोटे रास्ते की तलाश की जा रही है। कृपया थोड़ी देर प्रतीक्षा करें।"
"विंडशील्ड पर धुंध जमी हुई है, डिफॉगर चालू करो।",विंडशील्ड डिफॉगर चालू कर दिया गया है।
स्पीड लिमिट क्या है?,इस सड़क पर स्पीड लिमिट [स्पीड लिमिट] है।
क्या मैं कहीं कॉफी के लिए रुक सकता हूँ?,"ज़रूर, आपके आस-पास के कॉफी शॉप्स खोजे जा रहे हैं। क्या आप किसी खास ब्रांड को पसंद करेंगे?"
आज बहुत थकान हो रही है।,समझ गया। सीट को थोड़ा और आरामदायक बना दूं और हल्की मालिश शुरू कर दूं? कैसा रहेगा?
ये ट्रैफिक देखकर बहुत गुस्सा आ रहा है!,"शांत हो जाइए। मैं आसपास के शांत रास्ते खोज रहा हूं। तब तक, क्या आप कोई शांत संगीत सुनना चाहेंगे?"
"ये गाना बदलो, कुछ उत्साहित करने वाला बजाओ।",ज़रूर! उत्साहित करने वाले गाने चलाए जा रहे हैं। उम्मीद है अब बेहतर महसूस होगा।
ऑफिस पहुंचने में कितना समय लगेगा?,"अनुमानित समय 20 मिनट है, लेकिन ट्रैफिक थोड़ा ज्यादा है। मैं वैकल्पिक रास्ते खोज रहा हूं।"
